radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
1.392e+006,0,0,0,2.477e+016,1.5e+007,162000,0,0,0
2.784e+006,0,1.65542e+025,6.1141e+022,2.47458e+016,1.49946e+007,122102,0.00369337,0,0
4.176e+006,0,5.37784e+025,1.9834e+023,2.47108e+016,1.49867e+007,122027,0.00368575,0,0
5.568e+006,0,1.19896e+026,4.41306e+023,2.4667e+016,1.49769e+007,121918,0.00367478,0,0
6.96e+006,0,2.23088e+026,8.19101e+023,2.46149e+016,1.49653e+007,121781,0.00366106,0,0
8.352e+006,0,3.71487e+026,1.35999e+024,2.45547e+016,1.49518e+007,121619,0.0036448,0,0
9.744e+006,0,5.73163e+026,2.09128e+024,2.44866e+016,1.49366e+007,121431,0.00362608,0,0
1.1136e+007,0,8.36113e+026,3.03921e+024,2.44107e+016,1.49196e+007,121218,0.00360499,0,0
1.2528e+007,0,1.16825e+027,4.2288e+024,2.4327e+016,1.49009e+007,120979,0.00358158,0,0
1.392e+007,0,1.57741e+027,5.68373e+024,2.42357e+016,1.48805e+007,120716,0.00355591,0,0
1.5312e+007,0,2.07131e+027,7.42623e+024,2.41369e+016,1.48585e+007,120427,0.00352806,0,0
1.6704e+007,0,2.65756e+027,9.47698e+024,2.40306e+016,1.48348e+007,120114,0.00349808,0,0
1.8096e+007,0,3.34365e+027,1.1855e+025,2.3917e+016,1.48096e+007,119776,0.00346606,0,0
1.9488e+007,0,4.13695e+027,1.45777e+025,2.37961e+016,1.47827e+007,119413,0.00343207,0,0
2.088e+007,0,5.04466e+027,1.76604e+025,2.36682e+016,1.47543e+007,119025,0.00339618,0,0
2.2272e+007,0,6.07387e+027,2.1117e+025,2.35332e+016,1.47244e+007,118613,0.00335849,0,0
2.3664e+007,0,7.23146e+027,2.49591e+025,2.33915e+016,1.4693e+007,118177,0.00331906,0,0
2.5056e+007,0,8.52419e+027,2.91967e+025,2.3243e+016,1.46601e+007,117716,0.003278,0,0
2.6448e+007,0,9.95861e+027,3.38376e+025,2.30879e+016,1.46259e+007,117231,0.0032354,0,0
2.784e+007,0,1.15411e+028,3.88878e+025,2.29264e+016,1.45902e+007,116721,0.00319134,0,0
2.9232e+007,0,1.32778e+028,4.43514e+025,2.27587e+016,1.45533e+007,116188,0.00314592,0,0
3.0624e+007,0,1.51747e+028,5.02303e+025,2.25849e+016,1.4515e+007,115631,0.00309923,0,0
3.2016e+007,0,1.72376e+028,5.65249e+025,2.24051e+016,1.44756e+007,115050,0.00305138,0,0
3.3408e+007,0,1.94719e+028,6.32334e+025,2.22196e+016,1.44349e+007,114446,0.00300246,0,0
3.48e+007,0,2.1883e+028,7.03524e+025,2.20285e+016,1.4393e+007,113818,0.00295256,0,0
3.6192e+007,0,2.4476e+028,7.78766e+025,2.18321e+016,1.43501e+007,113167,0.00290179,0,0
3.7584e+007,0,2.72556e+028,8.57991e+025,2.16304e+016,1.43061e+007,112494,0.00285024,0,0
3.8976e+007,0,3.02264e+028,9.41115e+025,2.14237e+016,1.42611e+007,111797,0.00279802,0,0
4.0368e+007,0,3.33927e+028,1.02804e+026,2.12123e+016,1.42151e+007,111079,0.0027452,0,0
4.176e+007,0,3.67586e+028,1.11864e+026,2.09962e+016,1.41682e+007,110338,0.00269189,0,0
4.3152e+007,0,4.03277e+028,1.2128e+026,2.07757e+016,1.41204e+007,109576,0.00263819,0,0
4.4544e+007,0,4.41036e+028,1.31038e+026,2.05511e+016,1.40718e+007,108792,0.00258418,0,0
4.5936e+007,0,4.80895e+028,1.41122e+026,2.03224e+016,1.40225e+007,107987,0.00252994,0,0
4.7328e+007,0,5.22883e+028,1.51516e+026,2.009e+016,1.39725e+007,107161,0.00247558,0,0
4.872e+007,0,5.67025e+028,1.62204e+026,1.98541e+016,1.39218e+007,106315,0.00242116,0,0
5.0112e+007,0,6.13346e+028,1.73167e+026,1.96148e+016,1.38705e+007,105449,0.00236678,0,0
5.1504e+007,0,6.61865e+028,1.84387e+026,1.93724e+016,1.38187e+007,104563,0.00231251,0,0
5.2896e+007,0,7.12599e+028,1.95845e+026,1.91271e+016,1.37663e+007,103658,0.00225842,0,0
5.4288e+007,0,7.65562e+028,2.07521e+026,1.88792e+016,1.37136e+007,102735,0.00220459,0,0
5.568e+007,0,8.20766e+028,2.19396e+026,1.86288e+016,1.36604e+007,101793,0.00215108,0,0
